Try,Dimension,Time
0,4096,13.1574
0,6144,72.2193
0,8192,173.124
0,10240,411.601
1,4096,17.6917
1,6144,66.9193
1,8192,204.713
1,10240,356.336
2,4096,18.5238
2,6144,65.6705
2,8192,184.888
2,10240,347.52
3,4096,17.0096
3,6144,66.3979
3,8192,183.926
3,10240,339.798
4,4096,17.6227
4,6144,64.8936
4,8192,184.848
4,10240,348.299
5,4096,18.4966
5,6144,69.1402
5,8192,182.194
5,10240,343.826
6,4096,19.6773
6,6144,65.5968
6,8192,165.307
6,10240,305.755
7,4096,14.485
7,6144,51.9429
7,8192,148.966
7,10240,301.199
8,4096,14.9926
8,6144,49.9747
8,8192,142.581
8,10240,300.661
9,4096,17.1348
9,6144,54.4402
9,8192,148.512
9,10240,310.469
