Try,Dimension,Time
0,600,0.289050342
0,1000,1.986790585
0,1400,4.175812361
0,1800,15.653931004
0,2200,17.034689508
0,2600,65.258750779
0,3000,119.348435869
1,600,0.307164937
1,1000,1.407582913
1,1400,4.400829227
1,1800,10.472252044
1,2200,19.392519817
1,2600,64.38838749
1,3000,92.806218534
2,600,0.3099444
2,1000,2.096764728
2,1400,5.228137973
2,1800,10.212113178
2,2200,56.663340544
2,2600,75.072069308
2,3000,107.054924839
3,600,0.3124821
3,1000,2.092131599
3,1400,4.369281798
3,1800,9.151782594
3,2200,56.60342177
3,2600,72.485719823
3,3000,106.925737066
4,600,0.3158176
4,1000,2.1505596
4,1400,4.354559802
4,1800,9.869997801
4,2200,56.412723233
4,2600,71.11242771
4,3000,99.592054567
5,600,0.3128617
5,1000,2.101319103
5,1400,5.323877108
5,1800,10.039077021
5,2200,56.106504059
5,2600,71.149601163
5,3000,106.839207218
6,600,0.302713373
6,1000,2.058243435
6,1400,5.141510761
6,1800,8.75121244
6,2200,56.070085531
6,2600,64.748534222
6,3000,107.250939436
7,600,0.312138301
7,1000,2.098081094
7,1400,4.350614579
7,1800,10.150740659
7,2200,56.100877716
7,2600,70.821356863
7,3000,98.382947026
8,600,0.382668225
8,1000,2.737957
8,1400,4.982023587
8,1800,11.134585195
8,2200,15.265711005
8,2600,27.176325343
8,3000,55.674574164
9,600,0.314980808
9,1000,1.320596234
9,1400,3.981879743
9,1800,10.517301076
9,2200,16.423401391
9,2600,33.762595208
9,3000,50.123515915
10,600,0.30295771
10,1000,1.295483451
10,1400,3.977550357
10,1800,9.129646946
10,2200,17.938688296
10,2600,31.241178868
10,3000,48.397384095
