Try,Dimension,Time
0,600,0.472803551
0,1000,2.948578317
0,1400,7.418419193
0,1800,28.332075755
0,2200,60.753875193
0,2600,103.67474668
0,3000,164.272843452
1,600,0.45873699
1,1000,2.929890135
1,1400,8.187290604
1,1800,30.579189091
1,2200,64.550264356
1,2600,106.517345174
1,3000,165.238904958
2,600,0.460747999
2,1000,2.924131194
2,1400,8.381976284
2,1800,27.70101484
2,2200,63.384941044
2,2600,106.451838045
2,3000,165.262037721
3,600,0.459927499
3,1000,2.996210493
3,1400,7.966026569
3,1800,28.529274502
3,2200,63.271150475
3,2600,105.886285904
3,3000,165.120911445
4,600,0.466421099
4,1000,3.039095479
4,1400,8.074478757
4,1800,29.766537207
4,2200,63.424067346
4,2600,106.466074822
4,3000,165.680442136
5,600,0.487669199
5,1000,3.005790712
5,1400,8.148282726
5,1800,29.081594232
5,2200,63.554634662
5,2600,106.184561085
5,3000,165.540747302
6,600,0.493584904
6,1000,3.015250033
6,1400,8.133610659
6,1800,28.568495636
6,2200,63.914105585
6,2600,106.182997308
6,3000,165.202920042
7,600,0.515935392
7,1000,2.996383399
7,1400,7.915378595
7,1800,30.07687479
7,2200,63.315327045
7,2600,105.927118067
7,3000,164.954961127
8,600,0.454114903
8,1000,2.974232519
8,1400,7.77734924
8,1800,29.665012044
8,2200,63.180017607
8,2600,105.721337169
8,3000,166.773076405
9,600,0.4983093
9,1000,3.040699994
9,1400,8.270836773
9,1800,29.719439861
9,2200,64.115107587
9,2600,108.15157403
9,3000,164.947570471
