Dimension,BlockSize,Time,L1_DCM,L2_DCM
4096,128,143.97,70048687563,118393718012
4096,256,143.269,69466417579,120254957810
4096,512,142.707,69190982600,121781460685
6144,128,483.205,236394373562,399622960911
6144,256,477.97,234466892741,402981307983
6144,512,537.028,239865830334,397664492935
8192,128,908.464,571531145804,1021893245323
8192,256,1370.34,560036216542,979177413864
8192,512,1792.21,555549941957,965099034740
10240,128,1528.54,1094199925534,1911920902675
10240,256,1547.42,1085314254407,1960286603273
10240,512,1888.34,1093870155812,1925558345821
