Try,Dimension,Time,L1_DCM,L2_DCM
1,600,0.122884,27385032,57625711
2,600,0.128434,27300208,57031967
3,600,0.128874,27301085,57412956
4,600,0.129956,27300675,57421890
5,600,0.132164,27294748,57324861
6,600,0.130537,27285579,57337373
7,600,0.13352,27301703,57398093
8,600,0.132568,27292500,57363090
9,600,0.129304,27295957,57426777
10,600,0.130121,27293007,57481976
11,600,0.132846,27286041,56175163
12,600,0.127461,27274452,55928409
13,600,0.127031,27274583,55863749
14,600,0.125643,27277742,55962695
15,600,0.126419,27280217,55911841
16,600,0.157242,27363428,55856527
17,600,0.13501,27296741,55364903
18,600,0.127875,27322876,57389129
19,600,0.132061,27323727,57580696
20,600,0.134999,27265012,57227942
21,600,0.153703,27394083,57635304
22,600,0.134488,27289225,57453687
23,600,0.132649,27339852,55794704
24,600,0.132525,27339098,56389132
25,600,0.13394,27410656,57697376
26,600,0.132702,27422138,57721782
27,600,0.132385,27411707,57796351
28,600,0.131758,27420103,57605839
29,600,0.13191,27424808,57776074
30,600,0.131384,27411408,57676257
1,1000,0.632939,126873000,264986540
2,1000,0.643904,126806441,263086381
3,1000,0.582436,126637444,256198084
4,1000,0.60332,126680145,255392582
5,1000,0.610395,126469763,258434480
6,1000,0.63876,126774915,260729514
7,1000,0.592977,126594730,258870900
8,1000,0.610135,126576086,258310604
9,1000,0.616663,126653582,258422592
10,1000,0.592966,126636097,255930044
11,1000,0.600879,126419373,255493328
12,1000,0.609829,126457277,255364759
13,1000,0.62596,126623400,258217337
14,1000,0.606623,126543026,264479801
15,1000,0.629001,126526175,263572645
16,1000,0.622584,126732909,264049020
17,1000,0.616503,126547489,255931631
18,1000,0.619884,126485126,255943956
19,1000,0.63049,126476453,258058427
20,1000,0.649597,127160535,259841967
21,1000,0.611024,126625810,262184009
22,1000,0.627323,126531006,258295219
23,1000,0.606911,126588933,258602347
24,1000,0.598947,126689102,258517069
25,1000,0.619612,126659877,258269433
26,1000,0.592185,126585203,258726399
27,1000,0.619151,126736164,260655890
28,1000,0.611652,126666089,265192964
29,1000,0.637114,126537074,264546971
30,1000,0.620476,126514416,264723827
1,1400,1.88851,349446085,709955249
2,1400,1.90301,347572626,694175686
3,1400,1.89582,347572629,695234020
4,1400,1.89153,347567963,694869917
5,1400,1.8826,347929350,705701341
6,1400,1.90624,347617875,700235384
7,1400,1.86897,348061220,697916995
8,1400,1.82518,347837876,697951926
9,1400,1.8288,348310698,696003887
10,1400,1.8789,348766516,708503130
11,1400,1.82579,348252386,699801891
12,1400,1.85492,347963838,697774955
13,1400,1.82297,348045507,695842263
14,1400,1.83644,347969334,694780014
15,1400,1.89806,347749705,701510463
16,1400,1.82622,347849971,699485839
17,1400,1.86418,347732799,694993873
18,1400,1.87681,347563158,695542741
19,1400,1.84275,347551533,695909215
20,1400,1.84784,347874468,695916217
21,1400,1.87156,347563623,695297536
22,1400,1.87978,347722960,695799757
23,1400,1.86509,347565320,696055475
24,1400,1.82338,348005861,695822131
25,1400,1.81547,348047451,695195885
26,1400,1.80567,347994410,697033173
27,1400,1.81459,348028966,695702429
28,1400,1.83146,347800433,694516231
29,1400,1.85391,347530528,696330419
30,1400,1.90267,348574822,700921878
1,1800,4.08209,756354400,1485055955
2,1800,4.01504,755976434,1467242869
3,1800,3.98256,756626675,1468114400
4,1800,4.03031,753928223,1477589058
5,1800,4.04863,753054228,1482751257
6,1800,3.90231,753697330,1469231051
7,1800,3.96926,753857751,1471805227
8,1800,3.97165,754564273,1477312449
9,1800,3.97213,754179159,1471629649
10,1800,4.04162,753823973,1478290815
11,1800,4.04329,754282997,1471030639
12,1800,3.94803,754962114,1467780233
13,1800,3.94688,754850950,1467021172
14,1800,3.97004,754057012,1467981808
15,1800,4.00758,753081657,1482707517
16,1800,3.98134,753262466,1477184053
17,1800,4.04515,753859936,1474497502
18,1800,3.97257,754817606,1468233030
19,1800,3.94704,753333859,1472194912
20,1800,4.05675,755509197,1500044137
21,1800,3.8997,753200547,1469447659
22,1800,3.95683,753376233,1474460489
23,1800,4.07119,756428890,1491974846
24,1800,3.98425,755221790,1472306837
25,1800,4.00444,754895892,1470751569
26,1800,4.13094,762119181,1476041023
27,1800,3.96522,752668167,1476751968
28,1800,3.96492,753331731,1475368257
29,1800,4.01035,753684573,1478426462
30,1800,3.85479,753340962,1467054675
1,2200,7.23717,2090554585,2643798184
2,2200,8.08499,2092922361,2630371307
3,2200,8.63812,2096121742,2643322217
4,2200,7.80208,2094676153,2654043133
5,2200,9.59569,2110967260,2629871555
6,2200,8.46559,2096541577,2641031737
7,2200,8.4211,2101306637,2640049886
8,2200,8.51373,2096246999,2638112608
9,2200,9.18565,2101881354,2639047675
10,2200,7.57196,2091204438,2651291850
11,2200,7.51973,2089860487,2653613447
12,2200,7.52149,2092026928,2653062035
13,2200,7.38852,2089359999,2658330889
14,2200,7.43221,2092472222,2640860225
15,2200,7.60341,2092825642,2650312763
16,2200,7.43686,2092191709,2647241721
17,2200,7.37158,2089780158,2654630396
18,2200,7.3732,2091094376,2650586721
19,2200,7.31055,2091633924,2634649651
20,2200,7.33821,2092438440,2637638125
21,2200,7.343,2091714161,2641285717
22,2200,7.34831,2092232189,2644798393
23,2200,7.39299,2092159510,2649669375
24,2200,7.32648,2090795851,2643329862
25,2200,7.26591,2090837435,2643579777
26,2200,7.28266,2089871571,2651834269
27,2200,7.29018,2092096759,2629495193
28,2200,7.30789,2090270823,2645756260
29,2200,7.2432,2090725479,2641134941
30,2200,7.22706,2089965586,2651841981
1,2600,12.0035,4412488421,4375911399
2,2600,12.0552,4412614559,4385527671
3,2600,11.9385,4412385533,4374278455
4,2600,12.1331,4412412478,4388844396
5,2600,12.7333,4412320580,4363784023
6,2600,11.8261,4412622222,4358339923
7,2600,11.8405,4412059649,4377936264
8,2600,11.9042,4412625228,4373431590
9,2600,11.9908,4412658501,4393862595
10,2600,11.8383,4412498439,4357326863
11,2600,11.9282,4412649344,4391333076
12,2600,11.8777,4412676083,4379807906
13,2600,11.744,4412463947,4362160218
14,2600,11.9893,4412313070,4370803412
15,2600,11.8626,4412519894,4388237691
16,2600,11.8248,4412510068,4371106119
17,2600,11.7683,4411897595,4377115819
18,2600,11.8365,4412497392,4373218812
19,2600,11.8256,4412469498,4387935849
20,2600,11.7375,4412584749,4368532340
21,2600,11.7298,4411842920,4378391210
22,2600,11.8168,4412626283,4373791498
23,2600,11.7631,4412031773,4387286929
24,2600,11.8682,4412120517,4364883775
25,2600,12.029,4412625618,4367190764
26,2600,12.1859,4412311135,4360071251
27,2600,12.6104,4411945492,4382172587
28,2600,11.9017,4412640858,4376419588
29,2600,12.2632,4412338638,4372699571
30,2600,11.9319,4412362422,4374486642
1,3000,18.4007,6781744403,6681830757
2,3000,18.4258,6781431533,6678630933
3,3000,18.5174,6781765216,6709198376
4,3000,18.4097,6781800663,6691838194
5,3000,18.4102,6781748527,6719798858
6,3000,18.5191,6781069434,6726290864
7,3000,18.5022,6781760399,6709463190
8,3000,18.3998,6781014994,6700860074
9,3000,18.384,6780823639,6713680974
10,3000,18.24,6781551956,6681525267
11,3000,18.2586,6781269761,6709476426
12,3000,18.4313,6781933962,6715941905
13,3000,18.2756,6781887501,6700669749
14,3000,18.446,6781113279,6732298650
15,3000,19.6459,6781095937,6711794410
16,3000,18.946,6781060408,6745141167
17,3000,18.8969,6781888810,6711846525
18,3000,18.3795,6780880752,6706101514
19,3000,19.1773,6781255223,6721824834
20,3000,18.9566,6781528676,6734875215
21,3000,18.4382,6780697776,6738593720
22,3000,18.6113,6781690386,6748458902
23,3000,18.2273,6781324736,6678864656
24,3000,18.2374,6779239681,6719730740
25,3000,18.4131,6781529172,6732423180
26,3000,18.3367,6781037665,6704091386
27,3000,18.3069,6781254710,6703897533
28,3000,18.2162,6781282608,6692864306
29,3000,18.2834,6781212300,6733333262
30,3000,18.1998,6781190913,6729879126
1,4096,47.2035,17696615032,17066772519
2,4096,47.0399,17693646921,17057784637
3,4096,47.4706,17693780753,17015578573
4,4096,47.348,17696098963,17060595603
5,4096,48.3598,17694858580,17073535542
6,4096,47.2772,17697248796,17100917314
7,4096,46.9131,17698551808,17113455962
8,4096,46.9407,17694594292,17072864571
9,4096,47.0946,17698295345,17094714650
10,4096,47.5592,17697995327,17163466074
11,4096,47.4517,17697123936,17054202438
12,4096,46.9642,17696125089,17143938546
13,4096,46.928,17693021407,17028064952
14,4096,46.8544,17696800242,17119677825
15,4096,47.0373,17695734942,17159924492
16,4096,47.06,17694641528,17086932531
17,4096,47.2494,17699027536,17144081691
18,4096,46.9378,17696267027,17106444545
19,4096,47.1768,17695463027,17149259688
20,4096,47.2201,17695464320,17106075395
21,4096,46.8469,17694819839,17107905424
22,4096,46.9476,17698904475,17115922474
23,4096,47.0366,17695094969,17033084511
24,4096,46.676,17693916193,17034705405
25,4096,47.7482,17697177329,17093344140
26,4096,47.2872,17697587858,17048681352
27,4096,47.0334,17698022226,17094326282
28,4096,48.4492,17693091285,17114630548
29,4096,48.3394,17695110131,17075569680
30,4096,52.8427,17689826170,17077367763
1,6144,178.551,59670859188,58347343032
2,6144,185.509,59677141911,58475074221
3,6144,182.707,59684407388,59029038937
4,6144,184.11,59686914385,58627342449
5,6144,191.586,59680661823,58419853579
6,6144,197.088,59684314237,58752448557
7,6144,187.713,59691917478,58727665772
8,6144,186.535,59694632569,58891530457
9,6144,165.342,59700324471,58652241059
10,6144,169.818,59696286314,58941608200
11,6144,212.335,59646491172,58767412886
12,6144,182.863,59733170028,58777479208
13,6144,159.386,59682580542,58437591855
14,6144,154.148,59676032821,58134431971
15,6144,154.677,59654510977,58298369327
16,6144,153.878,59668330295,58918314039
17,6144,153.983,59679183061,58436891201
18,6144,153.177,59659681317,58487408863
19,6144,154.741,59673383041,58393902548
20,6144,155.106,59666895277,58535849609
21,6144,154.647,59682612542,58705433183
22,6144,153.779,59675485071,58527907566
23,6144,156.139,59669900354,58581253135
24,6144,154.589,59676516038,58508632227
25,6144,152.14,59671504125,58291426128
26,6144,152.832,59678134554,58404272249
27,6144,151.646,59657618194,58603296436
28,6144,152.714,59631680181,58000122289
29,6144,153.083,59667185354,58365962725
30,6144,153.332,59649306912,58184571209
1,8192,373.853,141327218603,141053759693
2,8192,365.77,141286257980,140852109940
3,8192,363.459,141283681286,140284662685
4,8192,361.661,141290777708,140607333323
5,8192,360.702,141284811580,140777316632
6,8192,458.389,141471968801,142208404480
7,8192,507.782,141637806898,143905308663
8,8192,508.712,141616661332,146193971951
9,8192,506.887,141635181845,143728731051
10,8192,510.282,141643755791,145010050508
11,8192,505.23,141673733002,144051744059
12,8192,505.245,141693029171,144445982508
13,8192,505.858,141672400821,144899177461
14,8192,504.954,141663175609,143764411769
15,8192,508.216,141657897620,144035213987
16,8192,509.457,141646495994,145151498763
17,8192,506.819,141670615023,144049277683
