Try,Dimension,Time
1,600,0.2349531650543213
2,600,0.23646211624145508
3,600,0.23296689987182617
4,600,0.22743701934814453
5,600,0.22600698471069336
6,600,0.23363900184631348
7,600,0.2314620018005371
8,600,0.23343992233276367
9,600,0.2344532012939453
10,600,0.2371199131011963
11,600,0.23121285438537598
12,600,0.23836994171142578
13,600,0.23500895500183105
14,600,0.2349240779876709
15,600,0.2564520835876465
16,600,0.23867392539978027
17,600,0.23403191566467285
18,600,0.23384499549865723
19,600,0.23714709281921387
20,600,0.23491287231445312
21,600,0.23427796363830566
22,600,0.22927117347717285
23,600,0.2302868366241455
24,600,0.2343919277191162
25,600,0.2330639362335205
26,600,0.23009777069091797
27,600,0.22865915298461914
28,600,0.23050999641418457
29,600,0.23819494247436523
30,600,0.2380690574645996
1,1000,1.7870779037475586
2,1000,1.7632091045379639
3,1000,1.9308521747589111
4,1000,1.8648808002471924
5,1000,1.8645288944244385
6,1000,1.9105730056762695
7,1000,1.9367938041687012
8,1000,1.9226360321044922
9,1000,1.996772050857544
10,1000,1.9001150131225586
11,1000,1.9359691143035889
12,1000,1.9226500988006592
13,1000,1.9077858924865723
14,1000,1.8079140186309814
15,1000,1.8946261405944824
16,1000,1.9451141357421875
17,1000,1.915010929107666
18,1000,2.0065011978149414
19,1000,1.9469249248504639
20,1000,1.8673241138458252
21,1000,1.9127528667449951
22,1000,1.9674108028411865
23,1000,1.9250669479370117
24,1000,1.93306303024292
25,1000,1.8809709548950195
26,1000,1.842423915863037
27,1000,1.889847993850708
28,1000,1.981400966644287
29,1000,1.8954041004180908
30,1000,1.9356420040130615
1,1400,4.119754076004028
2,1400,4.027425050735474
3,1400,4.209439992904663
4,1400,4.19868803024292
5,1400,4.016931056976318
6,1400,4.438933849334717
7,1400,4.193252086639404
8,1400,4.157423973083496
9,1400,4.535221815109253
10,1400,4.144212007522583
11,1400,4.095609903335571
12,1400,4.512235879898071
13,1400,4.154099941253662
14,1400,4.018719911575317
15,1400,4.4506659507751465
16,1400,4.158240079879761
17,1400,3.954162120819092
18,1400,4.520665168762207
19,1400,4.15181303024292
20,1400,4.035923957824707
21,1400,4.5002970695495605
22,1400,4.149904012680054
23,1400,3.9862120151519775
24,1400,4.459368944168091
25,1400,4.137768030166626
26,1400,3.99232816696167
27,1400,4.46583890914917
28,1400,4.1637609004974365
29,1400,4.039563179016113
30,1400,4.546658992767334
1,1800,27.293615102767944
2,1800,30.83377194404602
3,1800,29.621371030807495
4,1800,29.544152975082397
5,1800,27.29741883277893
6,1800,26.073046922683716
7,1800,26.6175479888916
8,1800,25.993032932281494
9,1800,28.056658029556274
10,1800,26.105350971221924
11,1800,25.726776838302612
12,1800,26.099413871765137
13,1800,26.817219018936157
14,1800,26.776453971862793
15,1800,26.918036937713623
16,1800,26.04964590072632
17,1800,28.07240915298462
18,1800,26.076133012771606
19,1800,25.808083057403564
20,1800,26.045177936553955
21,1800,25.802356004714966
22,1800,26.271026134490967
23,1800,26.709661960601807
24,1800,26.049901008605957
25,1800,29.167359828948975
26,1800,26.000808000564575
27,1800,25.785459995269775
28,1800,25.98909592628479
29,1800,25.784982204437256
30,1800,26.076350927352905
1,2200,60.8718638420105
2,2200,58.25677704811096
3,2200,61.08421516418457
4,2200,57.99719285964966
5,2200,61.061060190200806
6,2200,57.91302990913391
7,2200,61.1927969455719
8,2200,58.255035161972046
9,2200,60.878066062927246
10,2200,58.56584692001343
11,2200,60.78006720542908
12,2200,58.50387215614319
13,2200,61.73893213272095
14,2200,58.58481001853943
15,2200,60.88852000236511
16,2200,58.347342014312744
17,2200,61.46322989463806
18,2200,58.83053207397461
19,2200,61.90126919746399
20,2200,58.6310179233551
21,2200,64.42509603500366
22,2200,59.10962510108948
23,2200,61.088768005371094
24,2200,58.03227496147156
25,2200,61.64563202857971
26,2200,58.17835593223572
27,2200,61.71617293357849
28,2200,58.402791023254395
29,2200,61.32555890083313
30,2200,58.25419306755066
1,2600,108.76791405677795
2,2600,104.70554399490356
3,2600,105.15966486930847
4,2600,104.6094479560852
5,2600,105.345449924469
6,2600,104.83748197555542
7,2600,105.62770700454712
8,2600,104.47006487846375
9,2600,104.96876001358032
10,2600,104.40300393104553
11,2600,105.18746995925903
12,2600,104.58151698112488
13,2600,104.84585404396057
14,2600,104.6480438709259
15,2600,104.85637998580933
16,2600,104.32300996780396
17,2600,104.9480848312378
18,2600,105.02250790596008
19,2600,105.25109314918518
20,2600,104.53264594078064
21,2600,104.79795908927917
22,2600,104.7076768875122
23,2600,104.896066904068
24,2600,104.55091500282288
25,2600,104.94710302352905
26,2600,104.59907698631287
27,2600,105.06857800483704
28,2600,104.75214505195618
29,2600,104.61973404884338
30,2600,104.90413808822632
1,3000,173.01837992668152
2,3000,172.21336793899536
3,3000,166.7178599834442
4,3000,172.5241720676422
5,3000,166.6250901222229
6,3000,170.9685139656067
7,3000,167.21367001533508
8,3000,171.9722900390625
9,3000,166.8690390586853
10,3000,172.26814103126526
11,3000,166.97515606880188
12,3000,171.8158540725708
13,3000,166.36828684806824
14,3000,171.82995700836182
15,3000,166.81746006011963
16,3000,172.18165016174316
17,3000,166.32016396522522
18,3000,172.02747797966003
19,3000,167.59995198249817
20,3000,169.4653820991516
21,3000,166.5470871925354
22,3000,171.8488359451294
23,3000,166.38293313980103
24,3000,171.80795097351074
25,3000,166.56167006492615
26,3000,172.61991000175476
27,3000,166.4114489555359
28,3000,172.7542748451233
